n_distributor_id,dist_name,scan_date,time_slot,challan_count,total_line_items,item_value,quantity
36834,AK Pharma - Belgaum,2022-05-21,2022-05-21 18:00:00,21,98,20634.95,317.0
36834,AK Pharma - Belgaum,2022-05-21,2022-05-21 10:00:00,2,14,4626.84,56.0
36834,AK Pharma - Belgaum,2022-05-21,2022-05-21 16:00:00,8,35,8333.46,140.0
36834,AK Pharma - Belgaum,2022-05-21,2022-05-21 15:00:00,12,103,24883.09,442.0
36834,AK Pharma - Belgaum,2022-05-21,2022-05-21 12:00:00,55,276,85145.73,1199.0
36834,AK Pharma - Belgaum,2022-05-21,2022-05-21 20:00:00,6,35,12229.87,162.0
36834,AK Pharma - Belgaum,2022-05-21,2022-05-21 17:00:00,18,120,49501.42,604.0
36834,AK Pharma - Belgaum,2022-05-21,2022-05-21 14:00:00,21,158,38241.8,558.0
36834,AK Pharma - Belgaum,2022-05-22,2022-05-22 11:00:00,2,9,1636.19,39.0
36834,AK Pharma - Belgaum,2022-05-23,2022-05-23 14:00:00,30,233,75177.41,984.0
36834,AK Pharma - Belgaum,2022-05-23,2022-05-23 21:00:00,1,5,1018.89,20.0
36834,AK Pharma - Belgaum,2022-05-23,2022-05-23 20:00:00,11,52,14643.31,194.0
36834,AK Pharma - Belgaum,2022-05-23,2022-05-23 12:00:00,54,416,121870.78,1826.0
36834,AK Pharma - Belgaum,2022-05-23,2022-05-23 18:00:00,25,95,38002.97,390.0
36834,AK Pharma - Belgaum,2022-05-23,2022-05-23 15:00:00,15,108,27650.91,385.0
36834,AK Pharma - Belgaum,2022-05-23,2022-05-23 17:00:00,14,163,46167.8,643.0
36834,AK Pharma - Belgaum,2022-05-23,2022-05-23 13:00:00,41,235,59668.62,962.0
36834,AK Pharma - Belgaum,2022-05-23,2022-05-23 11:00:00,37,329,66478.93,1095.0
36834,AK Pharma - Belgaum,2022-05-23,2022-05-23 19:00:00,17,109,23723.19,343.0
36834,AK Pharma - Belgaum,2022-05-23,2022-05-23 16:00:00,6,46,9509.44,154.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 15:00:00,7,33,9150.28,132.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 01:00:00,1,3,1036.52,30.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 22:00:00,2,3,1369.5,37.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 11:00:00,43,241,56084.11,786.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 20:00:00,8,172,47214.43,869.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 13:00:00,44,251,91313.71,1341.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 17:00:00,18,117,33235.59,451.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 18:00:00,15,93,28698.9,380.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 16:00:00,7,55,18994.78,227.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 12:00:00,41,218,67789.95,868.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 14:00:00,18,153,32810.57,488.0
36834,AK Pharma - Belgaum,2022-05-24,2022-05-24 19:00:00,18,83,15715.82,251.0
36834,AK Pharma - Belgaum,2022-05-25,2022-05-25 20:00:00,10,38,18711.58,211.0
36834,AK Pharma - Belgaum,2022-05-25,2022-05-25 14:00:00,28,176,54081.63,1109.0
36834,AK Pharma - Belgaum,2022-05-25,2022-05-25 16:00:00,7,33,19503.77,147.0
36834,AK Pharma - Belgaum,2022-05-25,2022-05-25 15:00:00,9,42,6886.2,187.0
36834,AK Pharma - Belgaum,2022-05-25,2022-05-25 11:00:00,34,182,47719.63,652.0
36834,AK Pharma - Belgaum,2022-05-25,2022-05-25 18:00:00,18,98,32732.43,474.0
36834,AK Pharma - Belgaum,2022-05-25,2022-05-25 19:00:00,20,84,18187.72,255.0
36834,AK Pharma - Belgaum,2022-05-25,2022-05-25 13:00:00,36,181,59836.39,852.0
36834,AK Pharma - Belgaum,2022-05-25,2022-05-25 21:00:00,2,5,1160.01,39.0
36834,AK Pharma - Belgaum,2022-05-25,2022-05-25 17:00:00,14,82,27759.44,294.0
36834,AK Pharma - Belgaum,2022-05-25,2022-05-25 12:00:00,43,291,94245.07,1286.0
36834,AK Pharma - Belgaum,2022-05-26,2022-05-26 15:00:00,7,58,13052.87,183.0
36834,AK Pharma - Belgaum,2022-05-26,2022-05-26 16:00:00,9,115,25379.74,402.0
36834,AK Pharma - Belgaum,2022-05-26,2022-05-26 12:00:00,50,292,64824.15,1031.0
36834,AK Pharma - Belgaum,2022-05-26,2022-05-26 13:00:00,29,136,40036.74,633.0
